,ID,SN
514,z_5_flares_14_gal_171_alma.fits,8.45
515,z_6_flares_14_gal_043_alma.fits,8.01
516,z_9_flares_03_gal_000_alma.fits,3.48
517,z_5_flares_15_gal_048_alma.fits,13.93
518,z_5_flares_09_gal_089_alma.fits,5.26
519,z_5_flares_04_gal_137_alma.fits,13.25
520,z_5_flares_00_gal_203_alma.fits,8.28
521,z_6_flares_09_gal_004_alma.fits,8.17
522,z_6_flares_01_gal_021_alma.fits,4.74
523,z_6_flares_18_gal_001_alma.fits,3.05
524,z_6_flares_11_gal_053_alma.fits,4.19
525,z_5_flares_04_gal_008_alma.fits,4.96
526,z_6_flares_04_gal_020_alma.fits,3.41
527,z_5_flares_17_gal_063_alma.fits,14.6
528,z_5_flares_04_gal_135_alma.fits,8.88
529,z_5_flares_08_gal_161_alma.fits,9.15
530,z_7_flares_10_gal_031_alma.fits,5.19
531,z_5_flares_11_gal_156_alma.fits,12.54
532,z_5_flares_06_gal_170_alma.fits,3.03
533,z_5_flares_16_gal_088_alma.fits,14.42
534,z_7_flares_18_gal_007_alma.fits,4.38
535,z_5_flares_09_gal_179_alma.fits,3.51
